name,ttm,06/11/2021,05/31/2021,04/30/2021,03/31/2021,03/17/2021,03/05/2021,02/26/2021,01/29/2021,01/26/2021,01/08/2021,12/31/2020,11/30/2020,11/27/2020,11/19/2020,11/05/2020,10/30/2020,10/28/2020,10/22/2020,10/08/2020,09/30/2020,09/24/2020,09/23/2020,09/16/2020,09/02/2020,08/31/2020,08/13/2020,08/04/2020,07/31/2020,07/28/2020,07/16/2020,07/14/2020,06/30/2020,05/29/2020,04/30/2020,03/31/2020,02/28/2020,02/27/2020,01/31/2020,12/31/2019,11/29/2019,10/31/2019,09/30/2019,08/30/2019,07/31/2019,06/28/2019,05/31/2019,04/30/2019,03/29/2019,02/28/2019,01/31/2019,12/31/2018,11/30/2018,10/31/2018,09/28/2018,08/31/2018,07/31/2018,06/29/2018,05/31/2018,04/30/2018,03/30/2018,02/28/2018,01/31/2018,12/29/2017,11/30/2017,10/31/2017,09/29/2017,08/31/2017,07/31/2017,06/30/2017,05/31/2017,04/28/2017,03/31/2017,02/28/2017,01/31/2017,12/30/2016,11/30/2016,10/31/2016,09/30/2016,08/31/2016,07/29/2016,06/30/2016,05/31/2016,04/29/2016,03/31/2016,02/29/2016,01/29/2016,12/31/2015,11/30/2015,10/30/2015,09/30/2015,08/31/2015,07/31/2015,06/30/2015,05/29/2015,04/30/2015,03/31/2015,02/27/2015,01/30/2015,12/31/2014,11/28/2014,10/31/2014,09/30/2014,08/29/2014,07/31/2014,06/30/2014,05/30/2014,04/30/2014,03/31/2014,02/28/2014,01/31/2014,12/31/2013,11/29/2013,10/31/2013,09/30/2013,08/30/2013,07/31/2013,06/28/2013,05/31/2013,04/30/2013,03/29/2013,02/28/2013,01/31/2013,12/31/2012,11/30/2012,10/31/2012,09/28/2012,08/31/2012,07/31/2012,06/29/2012,05/31/2012,04/30/2012,03/30/2012,02/29/2012,01/31/2012,12/30/2011,11/30/2011,10/31/2011,09/30/2011,08/31/2011,07/29/2011,06/30/2011,05/31/2011,04/29/2011,03/31/2011,02/28/2011,01/31/2011,12/31/2010,11/30/2010,10/29/2010,09/30/2010,08/31/2010,07/30/2010,06/30/2010,05/31/2010,04/30/2010,03/31/2010,02/26/2010,01/29/2010,12/31/2009,11/30/2009,10/30/2009,09/30/2009,08/31/2009,07/31/2009,06/30/2009,05/29/2009,04/30/2009,03/31/2009,02/27/2009,01/30/2009,12/31/2008,11/28/2008,10/31/2008,09/30/2008,08/29/2008,07/31/2008,06/30/2008,05/30/2008,04/30/2008,03/31/2008,02/29/2008,01/31/2008,12/31/2007,11/30/2007,10/31/2007,09/28/2007,08/31/2007,07/31/2007,06/29/2007,05/31/2007,04/30/2007,03/30/2007,02/28/2007,01/31/2007,12/29/2006,11/30/2006,10/31/2006,09/29/2006,08/31/2006,07/31/2006,06/30/2006,05/31/2006,04/28/2006,03/31/2006,02/28/2006,01/31/2006,12/30/2005,11/30/2005,10/31/2005,09/30/2005,08/31/2005,07/29/2005,06/30/2005,05/31/2005,04/29/2005,03/31/2005,02/28/2005,01/31/2005,12/31/2004,11/30/2004,10/29/2004,09/30/2004,08/31/2004,07/30/2004,06/30/2004,05/31/2004,04/30/2004,03/31/2004,02/27/2004,01/30/2004,12/31/2003,11/28/2003,10/31/2003,09/30/2003,08/29/2003,07/31/2003,06/30/2003,05/30/2003,04/30/2003,03/31/2003,02/28/2003,01/31/2003,12/31/2002,11/29/2002,10/31/2002,09/30/2002,08/30/2002,07/31/2002,06/28/2002,05/31/2002,04/30/2002,03/29/2002,02/28/2002,01/31/2002,12/31/2001,11/30/2001,10/31/2001,09/28/2001,08/31/2001,07/31/2001,06/29/2001,05/31/2001,04/30/2001,03/30/2001,02/28/2001,01/31/2001,12/29/2000,11/30/2000,10/31/2000,09/29/2000,08/31/2000,07/31/2000,06/30/2000,05/31/2000,04/28/2000,03/31/2000,02/29/2000,01/31/2000,12/31/1999,11/30/1999,10/29/1999,09/30/1999,08/31/1999,07/30/1999,06/30/1999,05/31/1999,04/30/1999,03/31/1999,02/26/1999,01/29/1999,12/31/1998,11/30/1998,10/30/1998,09/30/1998,08/31/1998,07/31/1998,06/30/1998,05/29/1998,04/30/1998,03/31/1998,02/27/1998,01/30/1998,12/31/1997,11/28/1997,10/31/1997,09/30/1997,08/29/1997,07/31/1997,06/30/1997,05/30/1997,04/30/1997,03/31/1997,02/28/1997,01/31/1997,12/31/1996,11/29/1996,10/31/1996,09/30/1996,08/30/1996,07/31/1996,06/28/1996,05/31/1996,04/30/1996,03/29/1996,02/29/1996,01/31/1996,12/29/1995,11/30/1995,10/31/1995,09/29/1995,08/31/1995,07/31/1995,06/30/1995,05/31/1995,04/28/1995,03/31/1995,02/28/1995,01/31/1995
MarketCap,"107,760,564,664","107,760,564,664","106,226,369,067","105,770,557,331","102,721,000,000","97,833,556,092","95,355,611,015","92,044,703,719","90,142,886,164","92,521,687,295","94,035,317,366","99,394,400,000","102,121,067,655","104,734,247,851","105,327,389,395","102,037,132,530","97,960,683,337","98,164,925,472","103,139,834,768","108,627,245,209","107,142,876,924","105,879,346,858","107,131,695,242","110,581,244,139","111,277,303,843","109,094,080,433","108,808,947,542","105,664,099,479","105,938,050,688","108,087,729,053","102,605,672,686","99,739,623,777","101,447,760,000","108,932,293,370","109,106,163,264","94,567,050,000","104,254,661,779","108,433,110,963","120,703,025,131","109,415,780,000","110,298,386,580","106,250,661,732","109,606,860,000","108,471,704,109","102,275,902,937","102,714,158,623","95,650,688,398","94,178,661,203","84,887,555,630","87,503,526,744","81,855,540,474","73,577,040,000","85,450,009,445","83,578,488,418","98,522,857,593","91,246,701,357","92,867,105,622","84,132,870,328","89,810,443,582","91,609,279,325","96,488,978,190","100,735,874,704","101,334,777,798","92,056,008,810","91,502,611,840","88,360,005,216","88,970,749,022","87,949,530,262","84,130,771,392","79,949,144,032","81,371,125,489","77,990,430,630","77,454,960,982","77,261,065,990","72,965,036,838","73,226,759,858","77,712,243,148","72,183,760,478","70,232,531,300","73,597,018,824","76,553,379,295","75,172,128,911","71,920,936,678","70,748,792,555","67,436,343,708","65,767,291,081","64,457,830,217","66,230,750,000","67,346,880,465","67,552,768,446","63,705,428,861","62,473,336,745","64,311,701,163","57,728,369,127","59,237,934,004","58,734,317,137","63,883,799,604","63,272,127,478","59,446,529,636","60,852,120,000","60,518,624,415","60,205,858,503","57,744,801,475","55,225,515,306","52,994,277,532","51,013,776,293","51,938,755,541","52,094,270,300","51,808,630,947","51,817,341,171","48,507,042,196","47,719,860,000","45,377,927,824","42,709,768,448","40,855,189,482","39,289,057,347","38,550,903,190","34,751,161,224","33,908,495,227","31,748,963,356","31,066,578,613","28,387,333,392","28,022,814,224","29,625,090,000","30,190,707,872","30,310,435,223","30,293,991,292","29,567,298,847","28,960,640,422","28,250,168,791","26,879,924,804","29,392,613,427","29,171,860,421","28,742,577,255","26,762,684,760","26,176,852,074","25,287,033,246","24,558,999,659","23,504,159,885","24,899,835,574","25,416,694,272","27,175,356,335","27,054,605,966","27,523,459,856","27,922,853,911","27,695,650,384","27,848,472,248","24,328,680,000","24,503,136,608","25,673,553,921","25,669,952,637","25,200,873,751","27,241,738,527","27,006,114,708","29,650,153,766","31,494,013,428","30,874,446,902","29,184,007,933","27,795,960,000","28,105,550,000","29,407,846,221","26,194,040,419","29,731,511,498","28,818,946,822","28,734,388,696","30,998,240,347","32,522,452,633","30,539,139,128","26,844,731,619","24,945,591,243","32,428,082,802","33,325,245,386","30,562,674,497","33,709,706,471","43,467,883,700","46,151,184,262","41,351,365,975","39,104,052,210","44,008,355,128","42,641,136,493","39,930,826,610","42,118,268,419","44,044,607,827","42,959,001,296","45,723,197,173","45,462,913,319","44,822,532,406","40,979,862,420","40,707,049,134","38,908,961,566","41,165,155,602","40,342,691,738","40,711,961,228","41,090,565,765","41,060,992,049","38,761,470,000","38,341,377,552","36,849,264,241","36,480,474,871","35,011,456,573","33,773,763,435","30,408,255,382","31,307,152,348","32,779,871,199","32,447,321,781","31,837,744,065","29,557,065,816","27,800,681,417","26,425,031,111","26,407,588,846","26,616,896,023","27,620,954,896","27,691,959,921","28,788,100,001","28,810,516,745","27,061,195,802","27,110,034,712","26,124,390,036","25,502,380,749","24,505,401,325","26,932,437,773","24,387,047,944","24,692,494,723","23,925,959,560","23,574,499,760","23,373,056,736","22,233,126,550","21,407,350,352","20,482,840,043","20,698,847,366","21,745,418,300","22,988,780,350","20,713,198,189","20,902,565,695","20,807,881,942","23,098,159,291","23,598,626,923","21,411,163,191","20,893,550,459","22,527,406,301","21,402,161,231","20,835,035,733","23,263,967,065","26,317,220,333","23,807,365,873","26,407,020,767","29,494,681,054","28,804,839,463","29,164,217,592","31,616,177,237","27,966,306,989","28,349,407,085","25,951,651,192","25,011,399,690","23,486,152,129","20,692,820,839","20,462,080,516","21,484,083,245","19,471,041,825","17,378,377,167","15,656,104,808","14,640,552,326","15,130,546,520","13,893,706,337","14,087,333,075","14,802,566,535","13,704,031,165","13,415,566,841","13,474,840,332","14,166,364,396","13,024,361,799","11,212,568,752","11,113,779,600","9,805,020,914","9,681,336,896","9,829,520,624","8,076,210,754","6,890,740,930","7,409,186,400","8,644,050,800","7,853,737,584","7,903,132,160","12,916,879,202","14,620,794,496","121,647,948,270","130,163,619,138","141,303,528,341","150,476,132,374","14,817,348,158","14,793,012,381","13,836,066,823","16,632,718,628","20,361,587,701","21,858,237,993","19,731,247,627","17,137,966,624","19,510,867,671","20,702,971,017","21,949,341,652","21,778,439,873","21,867,668,437","22,681,728,841","20,227,884,873","19,146,358,587","18,976,471,101","18,478,471,398","20,687,026,543","20,117,010,937","20,638,522,832","20,001,127,558","18,081,819,636","17,284,972,736","16,187,269,896","17,054,445,069","17,728,914,648","17,632,561,851","17,464,137,161","17,271,431,567","18,034,681,976","16,958,916,378","16,458,653,358","16,728,808,488","16,704,113,580","16,056,868,013","15,110,893,724","15,185,376,752","15,011,317,483","15,733,046,078","14,613,012,519","13,542,368,776","6,722,315,750","6,096,411,131","6,296,700,609","12,609,257,654","11,884,973,394","11,535,415,353","10,556,587,648","8,859,579,648","8,859,579,648"
EnterpriseValue,"116,990,564,664","116,990,564,664","115,456,369,067","115,000,557,331","111,730,000,000","106,842,556,092","104,364,611,015","101,053,703,719","99,151,886,164","101,611,687,295","103,125,317,366","108,484,400,000","111,211,067,655","113,824,247,851","114,417,389,395","111,127,132,530","107,050,683,337","107,254,925,472","112,229,834,768","118,446,245,209","116,961,876,924","115,698,346,858","116,950,695,242","120,400,244,139","121,096,303,843","118,913,080,433","118,627,947,542","115,483,099,479","115,757,050,688","117,906,729,053","113,306,672,686","110,440,623,777","112,148,760,000","119,633,293,370","119,807,163,264","105,707,050,000","115,394,661,779","119,573,110,963","131,843,025,131","120,428,780,000","121,311,386,580","117,263,661,732","121,976,860,000","120,841,704,109","114,645,902,937","115,644,158,623","108,580,688,398","107,108,661,203","98,219,555,630","100,835,526,744","95,187,540,474","87,406,040,000","99,279,009,445","97,407,488,418","111,570,857,593","104,294,701,357","105,915,105,622","95,962,870,328","101,640,443,582","103,439,279,325","107,890,978,190","112,137,874,704","112,736,777,798","103,383,008,810","102,829,611,840","99,687,005,216","100,801,749,022","99,780,530,262","95,961,771,392","92,009,144,032","93,431,125,489","90,050,430,630","89,899,960,982","89,706,065,990","85,410,036,838","84,635,759,858","89,121,243,148","83,592,760,478","83,772,531,300","87,137,018,824","90,093,379,295","88,996,128,911","85,744,936,678","84,572,792,555","81,607,343,708","79,938,291,081","78,628,830,217","71,342,750,000","72,458,880,465","72,664,768,446","68,905,428,861","67,673,336,745","69,511,701,163","62,646,369,127","64,155,934,004","63,652,317,137","68,606,799,604","67,995,127,478","64,169,529,636","64,054,120,000","63,720,624,415","63,407,858,503","60,477,801,475","57,958,515,306","55,727,277,532","53,901,776,293","54,826,755,541","54,982,270,300","55,343,630,947","55,352,341,171","52,042,042,196","51,214,860,000","48,872,927,824","46,204,768,448","44,150,189,482","42,584,057,347","41,845,903,190","37,990,161,224","37,147,495,227","34,987,963,356","35,476,578,613","32,797,333,392","32,432,814,224","34,035,090,000","32,062,707,872","32,182,435,223","32,984,991,292","32,258,298,847","31,651,640,422","31,204,168,791","29,833,924,804","32,346,613,427","32,046,860,421","31,617,577,255","29,637,684,760","28,647,852,074","27,758,033,246","27,029,999,659","25,975,159,885","26,408,835,574","26,925,694,272","28,684,356,335","28,216,605,966","28,685,459,856","29,084,853,911","29,937,650,384","30,090,472,248","26,570,680,000","26,099,136,608","27,269,553,921","27,265,952,637","26,620,873,751","28,661,738,527","28,426,114,708","31,415,153,766","33,259,013,428","32,639,446,902","31,845,007,933","30,456,960,000","30,766,550,000","30,503,846,221","27,290,040,419","30,827,511,498","29,951,946,822","29,867,388,696","32,131,240,347","33,943,452,633","31,960,139,128","28,265,731,619","26,521,591,243","34,004,082,802","34,901,245,386","31,833,674,497","34,980,706,471","44,738,883,700","47,645,184,262","42,845,365,975","40,598,052,210","45,968,355,128","44,601,136,493","41,890,826,610","43,544,268,419","45,470,607,827","44,385,001,296","46,701,197,173","46,440,913,319","45,892,532,406","42,049,862,420","41,777,049,134","40,256,961,566","42,513,155,602","41,690,691,738","42,857,961,228","43,236,565,765","43,206,992,049","40,522,470,000","40,102,377,552","38,610,264,241","37,881,474,871","36,412,456,573","35,174,763,435","31,809,255,382","33,149,152,348","34,621,871,199","34,289,321,781","34,150,744,065","31,870,065,816","29,316,681,417","27,941,031,111","27,923,588,846","28,132,896,023","29,226,954,896","29,297,959,921","30,394,100,001","30,796,516,745","29,047,195,802","29,096,034,712","29,787,390,036","29,165,380,749","28,168,401,325","30,092,437,773","27,547,047,944","27,852,494,723","27,752,959,560","27,401,499,760","27,200,056,736","26,302,126,550","25,476,350,352","24,551,840,043","25,656,847,366","26,703,418,300","27,946,780,350","24,854,198,189","25,043,565,695","24,948,881,942","27,199,159,291","27,699,626,923","25,512,163,191","25,611,550,459","27,245,406,301","26,120,161,231","25,679,035,733","28,107,967,065","31,161,220,333","27,773,365,873","30,373,020,767","33,460,681,054","33,824,839,463","34,184,217,592","37,710,177,237","34,060,306,989","34,443,407,085","32,550,651,192","31,610,399,690","30,085,152,129","27,291,820,839","26,377,080,516","27,399,083,245","27,041,041,825","24,948,377,167","23,226,104,808","22,181,552,326","22,671,546,520","21,434,706,337","22,541,333,075","23,256,566,535","22,158,031,165","23,321,566,841","23,380,840,332","24,072,364,396","23,236,361,799","21,424,568,752","21,325,779,600","20,017,020,914","20,852,336,896","21,000,520,624","19,247,210,754","18,389,740,930","18,908,186,400","20,143,050,800","19,886,737,584","19,936,132,160","24,949,879,202","25,654,794,496","132,681,948,270","141,197,619,138","152,095,528,341","161,268,132,374","25,609,348,158","25,394,012,381","24,437,066,823","27,233,718,628","32,133,587,701","33,630,237,993","31,503,247,627","29,497,966,624","31,870,867,671","33,062,971,017","34,160,341,652","33,989,439,873","34,078,668,437","34,579,728,841","32,125,884,873","31,044,358,587","31,113,471,101","30,615,471,398","32,824,026,543","32,268,010,937","32,789,522,832","32,152,127,558","30,329,819,636","29,532,972,736","28,435,269,896","29,532,445,069","30,206,914,648","30,110,561,851","30,180,137,161","29,987,431,567","30,750,681,976","30,327,916,378","29,827,653,358","21,173,808,488","21,149,113,580","20,501,868,013","19,189,893,724","19,264,376,752","19,090,317,483","20,218,046,078","19,098,012,519","18,027,368,776","11,261,315,750","10,635,411,131","10,835,700,609","17,148,257,654","16,248,973,394","15,899,415,353","14,920,587,648","13,099,579,648","13,099,579,648"
PeRatio,"15.521",,"15.3","15.235","15.082",,,,,,,"15.164","15.592",,,,,,,,"16.796",,,,,"17.102",,,"16.607",,,,"16.557",,"17.652","15.442",,,"19.504","18.507",,"17.903","19.009",,"17.65",,"17.308","17.041",,"17.59","16.469","24.795","28.45","27.827",,"36.66","37.311",,"39.465","40.256",,"53.078","53.441",,"25.882","24.993",,"24.084","23.039","22.424","22.708",,"21.616","21.533","20.301",,"19.959","18.539","19.96","20.231",,"21.962","20.905",,"19.328","18.83",,"19.268","19.446",,"18.411","17.867","18.393","16.778",,"16.841","18.105",,,"19.471",,"19.269","18.843",,"17.213","16.778",,"17.134","18.058","17.954","16.694","16.019",,"14.369","14.299",,"13.466",,"12.221","11.442",,"10.526","10.391","11.039","10.663","10.705",,"10.685","10.465",,"9.976","10.908",,"11.262","10.487",,"9.696","9.417","9.012","9.788",,"10.682","10.599",,"10.939","11.025","11.086","9.737","9.529",,"9.983","9.123",,"9.777","10.585","11.244","11.023",,,"9.685","10.095",,"10.207","9.984","9.955","10.739",,"10.081","8.861",,,"10.697",,"11.031","14.224",,"13.764","13.016",,"14.626","13.697","14.535","15.2","14.825","16.062","15.971",,"15.159","15.058",,"16.188","15.865",,"16.769","16.757",,"16.719","16.068",,"16.755","16.162","14.552","15.725",,"16.297","17.773","16.5",,"16.648","16.637","16.769","18.469",,"19.249","21.558",,"20.286","20.926","20.428","19.629","21.964",,"20.137","21.008",,"20.344","20.303","19.549","18.705",,,"21.966",,"57.235","56.975",,"52.869","48.051",,"40.691","38.659","38.746","43.263","48.941",,"34.464","38.494",,"72.852",,"163.289","165.526",,"313.389","294.278","259.278","28.323","29.738",,,,,,,,,,,,,,"43.654","43.269","38.174","18.015",,"15.028","17.614","18.939","22.096","13.339",,"21.938","45.122",,"45.427","23.928","25.481","22.337",,,"16.112",,,,,,,,,,,,,,"14.947","16.765",,"17.075","16.623",,"14.529","13.636","14.652","15.232","15.149",,"16.879","16.973",,"15.354",,"22.98","22.089",,"25","24.713",,"25.302","23.448",,"23.12","23.88","23.975","14.167",,"12.59","9.523","9.523"
ForwardPeRatio,"14.62",,"14.389","14.327","14.006",,,,,,,"13.441","13.812",,,,,,,,"14.493",,,,,"16.208",,,"15.798",,,,"15.198",,"16.234","14.045",,,"17.731","15.773",,"15.267","15.361",,"17.699",,"16.75","16.502",,"15.748","14.837","13.423","15.385","15.06",,"18.832","19.157",,"19.493","19.881",,"23.042","26.316",,"24.096","23.256",,"24.096","23.042","22.026","22.321",,"21.186","21.097","19.881",,"20.619","19.305","17.953","20.121",,"21.053","17.422",,"16.611","16.181",,"17.668","17.699",,"16.639","16.155","16.639","15.06",,"15.106","16.367",,,"16.584",,"16.502","15.314",,"13.717","13.316",,"13.605","13.736","13.755","12.61","14.144",,"12.69","12.837",,"12.034",,"11.111","10.267",,"9.183","8.969","10.582","10.493","10.493",,"9.921","9.542",,"9.843","10.695",,"10.428","9.814",,"9.99","9.56","8.382","8.432",,"9.259","8.913",,"9.311","9.2","9.259","10.56","10.246",,,,,,,,,,,"10.204",,,"9.551",,"9.074","9.794",,"9.533","8.382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"4.143",,"4.078","4.061","3.683",,,,,,,"2.154","1.869",,,,,,,,"1.813",,,,,"2.028",,,"1.976",,,,"1.941",,"2.297","1.972",,,"1.664","1.493",,"1.444","1.441",,"3.493",,,,,"3.118","1.16","1.049","1.203","1.177",,"1.491","1.63",,"1.696","1.73",,"2.327","3.832",,"3.512","3.387",,"3.525","3.479","3.331","3.373",,"3.409","3.557","3.013",,"3.178","3.648","3.394","3.056",,"3.688","3.052",,"3.371","3.285",,"2.837","2.839",,"3.115","3.026","3.115","3.353",,"3.363","3.393",,,"2.158",,"2.145","2.288",,"2.05","2.098",,"2.142","2.212","2.216","2.031","2.264",,"2.03","2.405",,"2.253",,"2.314","2.14",,"1.875","1.831","2.108","2.09","2.598",,"2.063","1.905",,"1.641","1.659",,"1.488","1.462",,"1.367","1.144","0.853","0.861",,"0.983","0.946",,"0.972","0.96","0.967","1.207","1.171",,,,,,,,,,,"0.9",,,"0.853",,"0.782","0.844",,"0.822","0.722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.648",,"1.625","1.618","1.589",,,,,,,"1.557","1.601",,,,,,,,"1.721",,,,,"1.753",,,"1.702",,,,"1.692",,"1.804","1.608",,,"2.031","1.898",,"1.836","1.934",,"1.796",,"1.714","1.688",,"1.651","1.545","1.387","1.591","1.556",,"1.766","1.798",,"1.768","1.804",,"2.006","2.02",,"1.877","1.813",,"1.838","1.758","1.732","1.754",,"1.717","1.71","1.612",,"1.608","1.494","1.515","1.535",,"1.62","1.542",,"1.511","1.472",,"1.507","1.521",,"1.46","1.417","1.458","1.325",,"1.33","1.435",,,"1.398",,"1.383","1.326",,"1.211","1.167",,"1.191","1.175","1.168","1.086","1.058",,"0.949","0.898",,"0.846",,"0.739","0.692",,"0.613","0.605","0.642","0.647","0.65",,"0.632","0.619",,"0.586","0.641",,"0.646","0.602",,"0.577","0.56","0.536","0.569",,"0.621","0.612",,"0.631","0.637","0.64","0.562","0.548",,"0.574","0.575",,"0.616","0.675","0.717","0.703",,,"0.648","0.696",,"0.704","0.693","0.691","0.745",,"0.737","0.648",,,"0.806",,"0.83","1.07",,"1.018","0.963",,"1.055","0.988","1.053","1.101","1.074","1.138","1.131",,"1.062","1.055",,"1.073","1.051",,"1.071","1.071",,"1.015","0.976",,"0.941","0.908","0.817","0.85",,"0.881","0.873","0.81",,"0.734","0.733","0.739","0.769",,"0.802","0.812",,"0.764","0.745","0.728","0.699","0.787",,"0.721","0.705",,"0.683","0.671","0.646","0.618",,,"0.727",,"0.685","0.682",,"0.815","0.741",,"0.822","0.781","0.778","0.868","0.982",,"0.992","1.108",,"1.122",,"1.075","1.09",,"1.017","0.955","0.841","0.801","0.841",,"0.691","0.687",,"0.634","0.583",,"0.595","0.551",,"0.541","0.569",,"0.442","0.438","0.386","0.379",,"0.316","0.262","0.282","0.329","0.296",,"0.487","0.547",,"0.55","0.589","0.627","0.549",,,"0.615","0.744",,"0.723","0.644","0.734","0.779",,"0.835","0.844",,,"0.749",,"0.747","0.838",,"0.83","0.808",,"0.697","0.655","0.734","0.763","0.759",,"0.796","0.8",,"0.774",,"0.841","0.808",,"0.745","0.736",,"0.695","0.644",,"0.57","0.589","0.591","0.554",,"0.493","0.423","0.423"
PbRatio,"17.072",,"16.829","16.757","17.077",,,,,,,"20.068","20.618",,,,,,,,"28.564",,,,,"29.084",,,"28.243",,,,"29.439",,"31.662","30.242",,,"38.6","28.106",,"27.293","38.459",,"35.709",,"38.592","37.998",,"62.772","58.72","78.024","90.161","88.186",,"219.343","223.238",,,,,,,,"43.614","42.116",,"69.525","66.507","53.91","54.869",,"51.261","51.132","48.289",,"33.453","31.074","23.434","24.557",,"23.661","22.638",,"21.775","21.236",,"23.545","23.941",,"21.363","20.95","21.567","16.4",,"16.686","18.789",,,"13.304",,"13.163","13.37",,"12.27","10.628",,"10.853","10.534","10.536","9.863","37.369",,"33.445","58.869",,"55.549",,"111.541","104.437",,"727.88","718.534","759.618","12.363","12.412",,"13.415","13.14",,"17.088","18.686",,"28.714","26.736",,"8.592","8.345","7.986","7.573",,"8.265","7.137",,"7.366","7.469","7.51","6.561","6.254",,"6.552","6.749",,"7.232","7.361","7.819","7.665",,,"6.807","9.366",,"9.469","10.219","10.19","10.992",,"10.833","9.523",,,"11.632",,"3.437","4.432",,"4.43","4.189",,"4.552","4.263","4.296","4.492","4.381","6.156","6.12",,"5.724","5.686",,"5.857","5.74",,"5.969","5.965",,"4.743","4.559",,"4.572","4.41","3.971","3.945",,"4.089","4.047","3.757",,"3.417","3.415","3.442","3.503",,"3.651","3.872",,"3.643","3.721","3.632","3.49","3.72",,"3.411","3.401",,"3.323","3.165","3.048","2.916",,,"3.403",,"3.319","3.304",,"3.874","3.515",,"3.858","3.665","3.552","3.967","4.487",,"3.429","3.83",,"3.944",,"4.076","4.132",,"3.882","3.645","3.212","2.613","2.743",,"2.345","2.331",,"2.291","2.103",,"2.261","2.093",,"2.074","2.181",,"1.771","1.755","1.549","1.514",,"1.263","1.092","1.174","1.369","1.285",,"2.113","2.449",,"2.465","23.344","24.86","2.459",,,"2.716","3.389",,"3.293","2.988","3.401","3.613",,"4.006","4.047",,,"3.705",,"2.777","3.115",,"3.26","3.174",,"2.837","2.663","2.915","3.03","3.014",,"2.791","2.806",,"2.784",,"2.952","2.837",,"2.789","2.757",,"2.781","2.577",,"1.205","1.245","2.499","2.295",,"2.039","1.742","1.742"
EnterprisesValueRevenueRatio,"1.772"
EnterprisesValueEBITDARatio,"11.332"
