Date,ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits,Adj Close
2004-01-12,SPX,6.62060022354126,7.245180130004883,6.49567985534668,6.995349884033203,13833.0,0.0,0.0,
1993-04-23,GD,4.797501814411413,4.834691750957238,4.791303491653776,4.816096782684326,963200.0,0.0,0.0,
1980-12-31,LMT,1.2425160621364508,1.2659598604369338,1.2425160621364508,1.256582498550415,1069932.0,0.0,0.0,
2020-04-23,GD,130.20850890567627,131.00531436073788,126.67150224191735,126.7978286743164,1885200.0,0.0,0.0,
1981-04-15,RTX,0.7890615694198118,0.8031520247459412,0.7890615694198118,0.8031520247459412,3930550.0,0.0,0.0,
1990-06-29,RTX,2.285360457352263,2.3002651454799823,2.2754244804382324,2.2754244804382324,3122067.0,0.0,0.0,
2004-11-29,LHX,23.163042063409414,23.214401291013875,22.902821608228056,22.991844177246094,883150.0,0.0,0.0,
1965-08-19,GD,0.0,0.2651689614584869,0.2595098614692688,0.2595098614692688,852000.0,0.0,0.0,
1995-10-06,GE,5.177664734908843,5.19829275410483,5.1467222150884595,5.187978744506836,15212496.0,0.0,0.0,
1986-10-02,GE,1.1454857542122556,1.153385608629475,1.1277109877500129,1.1336358785629272,14312064.0,0.0,0.0,
2001-01-02,LHX,10.063164463419954,10.063164463419954,9.38126615126654,9.463920593261719,486876.0,0.0,0.0,
2018-09-24,RTX,83.34429965800771,84.04368670236465,82.19237727608673,82.48035430908203,4023825.0,0.0,0.0,
2021-03-24,GD,175.1746127906723,178.25465576243627,175.1746127906723,175.28390502929688,920600.0,0.0,0.0,
2016-01-12,BA,118.00534450513345,118.53447294517515,116.26548545928175,118.31026458740234,4171500.0,0.0,0.0,
2009-06-03,GE,9.515049161642846,9.549902608845747,9.271073648478472,9.41048812866211,71076720.0,0.0,0.0,
1982-07-09,GD,1.1777461747813032,1.197213053703308,1.158279295859298,1.197213053703308,2591200.0,0.0,0.0,
2012-06-26,SPX,0.0644799992442131,0.0644799992442131,0.061900001019239426,0.061900001019239426,76724.0,0.0,0.0,
2004-02-06,GD,32.824808665890394,33.45970596342442,32.824808665890394,33.42864990234375,2046800.0,0.0,0.0,
1994-05-27,LHX,5.514631449317473,5.666969299316406,5.499397762729586,5.666969299316406,357324.0,0.0,0.0,
2017-03-03,LHX,102.2268406328875,102.31009892511454,101.7457762531555,102.18983459472656,822200.0,0.0,0.0,
2003-02-26,GE,13.470052767337275,13.537826878443726,13.182014755705065,13.198957443237305,19607328.0,0.182692,0.0,
1977-03-18,GE,0.26524750802541547,0.26848221269932093,0.26395362615585327,0.26395362615585327,4792320.0,0.0,0.0,
1997-07-17,LMT,28.600996534029644,28.63568543219099,28.306140899658203,28.306140899658203,1834200.0,0.0,0.0,
1999-06-07,LHX,10.584703882872114,10.998438835144043,10.584703882872114,10.998438835144043,308425.0,0.0,0.0,
1977-04-05,GD,0.4112898747451301,0.4112898747451301,0.38530422714843143,0.39068055152893066,6444000.0,0.0,0.0,
2014-07-23,GD,103.92600423722202,104.58228995580613,102.85522712980087,104.254150390625,2915400.0,0.0,0.0,
1991-05-24,LHX,2.741475457656115,2.782597535283337,2.741475457656115,2.7551827430725098,279424.0,0.0,0.0,
1962-10-03,GD,0.0,0.1432923935079681,0.1385942939974596,0.14016032218933105,296000.0,0.0,0.0,
1966-09-12,GD,0.0,0.2785084332400884,0.26862055336088625,0.27603647112846375,620000.0,0.0,0.0,
1990-12-06,LMT,4.416917174968742,4.451424223058473,4.347902649661189,4.365156173706055,228852.0,0.0,0.0,
2008-04-14,GE,20.99481827028157,21.020753907904755,20.586334228515625,20.586334228515625,101980736.0,0.0,0.0,
1973-07-25,GE,0.2828541181737155,0.29025269999275644,0.2828541181737155,0.28968358039855957,5945472.0,0.0,0.0,
2008-03-14,LMT,67.04180592652821,67.50198496171575,65.08932270544982,66.09514617919922,2891700.0,0.0,0.0,
1976-05-24,BA,0.4278541016278263,0.4278541016278263,0.4175975425328903,0.42199304699897766,2594025.0,0.0,0.0,
2010-06-10,SPX,0.038690000772476196,0.038690000772476196,0.03455999866127968,0.03455999866127968,0.0,0.0,0.0,
2006-07-24,GE,19.95552401583078,20.12755505717871,19.8387895803986,20.041540145874023,23777728.0,0.0,0.0,
2014-04-30,HII,90.68466588348271,92.29667437671984,90.2995737130105,92.2429428100586,265900.0,0.0,0.0,
2009-03-26,RTX,20.53207571598899,21.371172473505307,20.419570646578823,21.314918518066406,14585749.0,0.0,0.0,
2002-01-17,LMT,29.18789931034101,29.33835239956957,28.850883564005528,29.025409698486328,1570000.0,0.0,0.0,
2009-10-08,BA,40.39825439453125,40.629983757317724,40.05838485888433,40.39825439453125,3190600.0,0.0,0.0,
1978-08-22,GE,0.3041507362735311,0.30551769739269813,0.2993663723564465,0.3048342168331146,4927104.0,0.0,0.0,
2002-09-19,LHX,10.644024621970825,10.727704179818112,10.573733847436975,10.603858947753906,573455.0,0.0,0.0,
2004-04-13,GE,18.356846845469878,18.385810972049548,17.876058660770454,17.957155227661133,33792512.0,0.0,0.0,
2002-07-29,GD,28.593948151875388,28.72850842118895,27.006142620327463,27.477102279663086,8284600.0,0.0,0.0,
2006-01-06,LHX,31.88334772250023,32.235305179861,31.69701615655983,32.145591735839844,706287.0,0.0,0.0,
1975-08-04,BA,0.29712164894612536,0.29712164894612536,0.28585630162684217,0.29148897528648376,1354725.0,0.0,0.0,
2013-10-01,RTX,56.51893325547836,56.72810870277195,55.6142518232875,56.15287780761719,7937532.0,0.0,0.0,
