date,CashDividendsPaid,CommonStockDividendPaid,RepurchaseOfCapitalStock,AccountsPayable,CostOfRevenue,BasicEPS,MarketCap,PeRatio,PegRatio,FreeCashFlow,TotalRevenue,NetIncome,TotalAssets,StockholdersEquity
2007-05-31,,,,,,,386628940060.0,18.79,,,,,,
2010-06-30,-319000000.0,,,6960000000.0,12540000000.0,1.07,47761491639.0,46.481,,9000000.0,15573000000.0,787000000.0,63755000000.0,3077000000.0
2009-04-30,,,,,,,19948149112.0,8.15,0.905,,,,,
2011-11-30,,,,,,,25287033246.0,9.696,1.367,,,,,
2018-02-28,,,,,,,213157076271.0,26.97,1.099,,,,,
1994-07-29,,,,,,,15200670334.0,,,,,,,
2012-12-31,-5000000.0,,,377000000.0,1489000000.0,,2149664000.0,14.893,0.778,303000000.0,1823000000.0,50000000.0,6392000000.0,667000000.0
1989-07-31,,,,,,,1733160722.0,5.12,,,,,,
2005-03-31,-2336000000.0,,,23473000000.0,15542000000.0,0.37,382449475200.0,22.123,,6911000000.0,39726000000.0,3965000000.0,752223000000.0,112872000000.0
2012-09-30,-1800000000.0,,,15851000000.0,18509000000.0,0.66,,,,2670000000.0,36349000000.0,3491000000.0,698880000000.0,122552000000.0
2010-11-30,,,,,,,69504851965.0,16.434,1.222,,,,,
2009-11-30,,,,,,,25424305011.0,10.561,,,,,,
2017-12-29,,,,,,,151327883250.0,,,,,,,
2010-07-30,,,,,,,27241738527.0,,,,,,,
2013-08-30,,,,,,,29126497596.0,,,,,,,
1995-09-29,,,,,,,108864260531.0,,,,,,,
1999-12-31,-1147000000.0,,-260000000.0,13676000000.0,12203000000.0,,509946254329.0,48.059,,-2219000000.0,32453000000.0,3089000000.0,405200000000.0,42557000000.0
2007-01-31,,,,,,,31707650077.0,18.607,,,,,,
1992-08-31,,,,,,,791822430.0,9.031,,,,,,
2000-02-29,,,,,,,24149492522.0,30.872,,,,,,
2006-04-28,,,,,,,66724887911.0,,,,,,,
1994-10-31,,,,,,,14951991016.0,17.139,,,,,,
1993-10-29,,,,,,,2979177945.0,,,,,,,
2007-03-30,,,,,,,6784550708.0,,,,,,,
2007-06-30,-14000000.0,,-199900000.0,350000000.0,827400000.0,,,,,85000000.0,1207600000.0,87600000.0,4406000000.0,1903800000.0
2009-04-30,,,,,,,133958123750.0,7.857,,,,,,
1987-03-31,,,,,,0.17,8035978593.0,12.665,,,3763000000.0,,,
1987-07-31,,,,,,,865904000.0,10.097,,,,,,
1994-10-31,,,,,,,83644987145.0,15.37,,,,,,
1987-09-30,,,,,,0.12,935426100.0,10.5,,,506600000.0,,,
1985-09-30,,,,,,0.08,526514640.0,7.845,,,559900000.0,,,
1988-10-31,,,,,,,39430936150.0,13.982,,,,,,
1990-03-31,-10400000.0,,,1020200000.0,2083800000.0,0.375,,,,46500000.0,2491000000.0,123700000.0,6930000000.0,2246500000.0
1991-02-28,,,,,,,59431591591.0,13.821,,,,,,
2017-09-29,,,,,,,61563357255.0,,,,,,,
1999-04-30,,,,,,,38104709093.0,25.391,,,,,,
1996-08-30,,,,,,,31288585453.0,,,,,,,
2021-01-08,,,,,,,94035317366.0,,,,,,,
2006-12-31,-246000000.0,,-738000000.0,4263000000.0,9521000000.0,,,,,1304000000.0,12787000000.0,865000000.0,47141000000.0,17297000000.0
2019-10-31,,,,,,,9252060000.0,13.999,,,,,,
2018-09-28,,,,,,,19901048006.0,,,,,,,
1993-01-29,,,,,,,73747484563.0,,,,,,,
2010-02-26,,,,,,,171357325260.0,,,,,,,
2016-12-31,-530000000.0,-530000000.0,-816000000.0,1653000000.0,12399000000.0,3.39,,,,293000000.0,13752000000.0,988000000.0,47806000000.0,1511000000.0
2016-12-31,-28000000.0,-28000000.0,-42000000.0,316000000.0,1480000000.0,,,,,205000000.0,1922000000.0,197000000.0,6352000000.0,1653000000.0
2015-04-30,,,,,,,58734317137.0,16.841,3.363,,,,,
1988-06-30,,,,,,0.2,1582482822.0,4.194,,,2340600000.0,,,
1991-04-30,,,,,,,1116856844.0,,,,,,,
2005-08-31,,,,,,,5142375243.0,26.445,,,,,,
1993-06-30,-67000000.0,,,1620000000.0,4124000000.0,0.015,6714306000.0,,,438000000.0,5508000000.0,130000000.0,15882000000.0,3595000000.0
2003-07-31,,,,,,,2149077705.0,35.967,,,,,,
2004-07-30,,,,,,,23574499760.0,,,,,,,
2009-05-29,,,,,,,32522452633.0,,,,,,,
2013-06-28,,,,,,,2832258788.0,,,,,,,
1991-09-30,-10000000.0,,,2828000000.0,1915000000.0,0.22,1384236400.0,,,159000000.0,2091000000.0,71000000.0,6343000000.0,1824000000.0
2003-07-31,,,,,,,35268926420.0,16.57,,,,,,
1991-11-29,,,,,,,15184166250.0,,,,,,,
2007-08-31,,,,,,,398268899990.0,18.51,,,,,,
1986-02-28,,,,,,,699738820.0,11.593,,,,,,
2010-11-30,,,,,,,24503136608.0,9.529,1.171,,,,,
2021-01-29,,,,,,,93615465240.0,,,,,,,
1991-12-31,-10100000.0,,,149800000.0,481500000.0,0.125,722922020.0,8.039,,39100000.0,755700000.0,19200000.0,2417400000.0,1045100000.0
2007-07-31,,,,,,,72370458997.0,19.003,,,,,,
2012-12-31,-360000000.0,,0.0,2469000000.0,7280000000.0,-6.07,24690451947.0,,3.21,618000000.0,8078000000.0,-2130000000.0,34309000000.0,11390000000.0
2001-06-29,,,,,,,34501527110.0,,,,,,,
2010-12-31,-368000000.0,-368000000.0,-556000000.0,5206000000.0,11000000000.0,,72522295680.0,16.608,1.271,1290000000.0,14818000000.0,1199000000.0,58493000000.0,21385000000.0
2001-10-31,,,,,,,26013895480.0,8.556,,,,,,
2017-09-30,-2085000000.0,-2085000000.0,,14907000000.0,24094000000.0,0.21,,,,-577000000.0,31327000000.0,1836000000.0,378038000000.0,76105000000.0
2020-09-30,0.0,0.0,,14479000000.0,13105000000.0,-0.79,93291957623.0,,,-5081000000.0,14139000000.0,-449000000.0,161261000000.0,-11821000000.0
1996-05-31,,,,,,,3893962062.0,15.57,,,,,,
2004-03-31,-98000000.0,,,1611000000.0,7879000000.0,0.66,20482840043.0,18.705,,956000000.0,8347000000.0,291000000.0,26823000000.0,7024000000.0
2017-02-28,,,,,,,259606756142.0,29.81,1.393,,,,,
2017-05-31,,,,,,,81371125489.0,22.708,3.373,,,,,
2018-08-31,,,,,,,10590044847.0,18.042,,,,,,
2013-06-28,,,,,,,34751161224.0,,,,,,,
2002-04-30,,,,,,,33180524310.0,18.039,,,,,,
1989-12-31,-9600000.0,,,135000000.0,468900000.0,0.195,,,,5600000.0,761100000.0,30800000.0,2538300000.0,1034200000.0
2001-06-30,-149000000.0,,-1409000000.0,5216000000.0,12967000000.0,1.02,,,,906000000.0,15516000000.0,840000000.0,44697000000.0,11495000000.0
2008-01-31,,,,,,,44044607827.0,15.2,,,,,,
2010-09-30,-229000000.0,-229000000.0,-319000000.0,2352000000.0,10577000000.0,1.59,25669952637.0,9.983,,342000000.0,11375000000.0,571000000.0,35551000000.0,3918000000.0
2016-06-30,-63000000.0,-63000000.0,0.0,602000000.0,1319000000.0,1.29,10407126926.0,94.818,,349000000.0,1904000000.0,160000000.0,11996000000.0,3056000000.0
2020-02-28,,,,,,,104254661779.0,,,,,,,
1989-02-28,,,,,,,1506774318.0,3.998,,,,,,
2014-07-31,,,,,,,39038073481.0,16.218,2.849,,,,,
2007-09-30,-118000000.0,,-313000000.0,1926000000.0,6033000000.0,1.35,,,,811000000.0,6834000000.0,546000000.0,23883000000.0,10910000000.0
2018-09-30,-82000000.0,-82000000.0,-200000000.0,480000000.0,1010000000.0,1.81,,,,86000000.0,1542000000.0,213000000.0,9889000000.0,3244000000.0
2020-08-25,,,,,,,98626127990.0,,,,,,,
1989-09-29,,,,,,,1731355659.0,,,,,,,
2018-11-30,,,,,,,196919930554.0,20.41,1.222,,,,,
2009-09-30,-219000000.0,-219000000.0,-393000000.0,2245000000.0,10060000000.0,2.09,29731511498.0,10.207,0.853,1242000000.0,11056000000.0,797000000.0,35742000000.0,3140000000.0
1998-07-31,,,,,,,291297630350.0,33.878,,,,,,
2010-02-26,,,,,,,47853527632.0,,,,,,,
1986-10-31,,,,,,,34851577755.0,13.813,,,,,,
2011-09-30,-411000000.0,-411000000.0,-675000000.0,5597000000.0,10756000000.0,1.49,63752328390.0,13.201,1.177,1744000000.0,14804000000.0,1324000000.0,61948000000.0,22590000000.0
2014-08-29,,,,,,,98781185527.0,,,,,,,
2003-02-28,,,,,,,12891248368.0,11.44,,,,,,
2017-10-31,,,,,,,153647347363.0,23.799,2.382,,,,,
2011-10-31,,,,,,,48897394202.0,13.002,1.146,,,,,
2012-06-30,0.0,,,314000000.0,1443000000.0,1.01,,,,121000000.0,1721000000.0,50000000.0,5812000000.0,994000000.0
1996-01-31,,,,,,,12528390872.0,18.006,,,,,,
1998-07-31,,,,,,,19510867671.0,,,,,,,
1991-01-31,,,,,,,853242874.0,,,,,,,
1988-09-30,,,,,,0.21,9800392453.0,16.968,,,3722000000.0,,,
2014-11-28,,,,,,,100355348416.0,,,,,,,
1998-02-27,,,,,,,20470186043.0,,,,,,,
1990-11-30,,,,,,,5385238905.0,62.853,,,,,,
2000-09-29,,,,,,,13024361799.0,,,,,,,
1989-12-29,,,,,,,840229700.0,,,,,,,
