Columns
parent_award_agency_name
awarding_agency_name
awarding_sub_agency_name
recipient_name
recipient_country_name
primary_place_of_performance_state_name
award_type
multiple_or_single_award_idv
type_of_contract_pricing
action_type
country_of_product_or_service_origin
domestic_or_foreign_entity
place_of_manufacture
subcontracting_plan
extent_competed
solicitation_procedures
other_than_full_and_open_competition
parent_award_type
parent_award_single_or_multiple
performance_based_service_acquisition
multi_year_contract
sole_proprietorship
foreign_owned
