date,ticker,PeRatio,PegRatio,MarketCap
2021-01-26,LMT,,,92521687295.0
2014-07-31,LHX,13.654,3.49,7203104413.0
2021-05-31,HII,13.033,1.097,8698634231.0
2017-12-29,LMT,,,92056008810.0
2014-09-30,LMT,18.843,2.288,57744801475.0
2014-10-31,BA,17.947,2.016,89052143633.0
2014-08-29,GE,,,260680819528.0
2016-06-30,LMT,21.962,3.688,75172128911.0
2014-08-29,RTX,,,98781185527.0
2018-11-30,BA,20.41,1.222,196919930554.0
2015-04-30,GE,17.934,1.777,272856157320.0
2016-04-29,LHX,,,9979317178.0
2019-12-31,RTX,25.513,1.779,129447452160.0
2013-11-29,LMT,,,45377927824.0
2021-01-29,RTX,,,101394775881.0
2017-03-31,RTX,18.305,2.288,89905738223.0
2019-01-31,BA,21.603,1.334,218893795302.0
2013-11-29,GE,,,269729057540.0
2016-03-31,LHX,110.773,,9705574221.0
2020-09-17,BA,,,94562097077.0
2018-12-31,HII,12.223,,7973989000.0
2013-02-28,GD,,3.053,24023514184.0
2014-07-31,GD,16.218,2.849,39038073481.0
2012-06-29,GE,,,220806302080.0
2020-10-15,GD,,,40402956313.0
2012-12-31,BA,14.748,1.779,56944316816.0
2011-07-29,LMT,,,25416694272.0
2014-09-30,GE,17.548,1.593,257280959321.0
2018-12-31,GE,,1.846,65875858390.0
2021-03-17,LMT,,,97833556092.0
2014-11-28,GE,,,266017666371.0
2016-01-29,HII,,,5997572000.0
2019-05-31,RTX,19.612,1.633,108907405714.0
2012-02-29,RTX,15.277,1.13,76335312101.0
2018-01-31,BA,26.386,1.876,209446431250.0
2021-02-26,HII,,,7092121251.0
2019-07-31,GE,,3.667,91197902400.0
2011-11-30,GE,12.935,0.779,167967454410.0
2014-10-31,GD,18.886,2.554,46315030202.0
2013-07-31,GD,,3.835,29857721380.0
2021-03-31,LHX,39.052,,41664072695.0
2016-05-31,RTX,22.653,1.654,84171950496.0
2018-05-31,LHX,27.161,,17865139689.0
2018-06-29,GD,,,55370001127.0
2019-08-30,BA,,,204877086812.0
2018-06-29,GE,,,118207450180.0
2019-10-31,RTX,24.46,1.706,123948154405.0
2014-10-31,HII,15.074,0.928,5109902932.0
2020-03-31,RTX,14.716,1.479,81704931378.0
2013-05-31,HII,17.756,0.753,2769074544.0
2013-12-31,LHX,16.594,3.895,7448257946.0
2013-03-29,GD,,,24961917906.0
2016-02-29,LMT,18.83,3.285,65767291081.0
2017-10-31,HII,19.038,,10547199000.0
2011-01-31,LHX,9.537,1.545,5954043985.0
2020-07-09,RTX,,,88045983686.0
2017-10-31,RTX,18.51,1.888,95636733738.0
2012-08-31,LMT,10.685,2.063,29567298847.0
2018-11-30,HII,13.841,,9256649926.0
2019-07-31,GD,16.484,2.084,53707675672.0
2018-01-31,LMT,53.441,3.832,101334777798.0
2018-05-31,GE,,2.703,122289559040.0
2017-08-31,RTX,18.306,2.128,95602711405.0
2017-10-31,LMT,24.993,3.387,88360005216.0
2014-09-30,BA,19.271,2.233,90929116895.0
2017-03-31,BA,23.24,2.648,107140436259.0
2018-08-31,RTX,20.74,1.556,105372285634.0
2020-06-30,RTX,12.973,,93364197466.0
2018-05-31,LMT,39.465,1.696,89810443582.0
2020-08-31,LMT,17.102,2.028,109094080433.0
