Date,ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits,Adj Close,norm_close,ROI
2014-05-09,LMT,134.69553081186552,135.55712522958927,134.06370575690244,135.54071044921875,837900.0,0.0,0.0,,2.6289884673160215,162.89884673160216
2020-01-29,HII,265.7417752732745,265.9639699319422,253.17387699465718,255.35708618164062,607200.0,0.0,0.0,,7.7008956417561825,670.0895641756182
2015-06-22,LHX,71.38752690103759,71.98539580490295,70.99489332450744,71.54814910888672,657200.0,0.0,0.0,,2.06771566911113,106.77156691111298
2012-10-05,LHX,42.68518258497323,43.307052966158146,42.51105963736057,43.09147262573242,1209600.0,0.0,0.0,,1.2453279960841555,24.532799608415537
2016-02-05,BA,110.87552805671736,111.35981898926083,108.54376222181303,109.9159164428711,6186700.0,0.0,0.0,,2.2861550892657228,128.61550892657226
2019-05-22,RTX,80.92919969983942,81.50316118287729,80.67808656788787,80.95909118652344,3086791.0,0.0,0.0,,2.507001977209524,150.7001977209524
2013-01-18,SPX,0.08305999636650085,0.10471999645233154,0.07943999767303467,0.09027999639511108,10399388.0,0.0,0.0,,0.24090726940497068,-75.90927305950294
2010-07-22,SPX,0.041269998997449875,0.041269998997449875,0.041269998997449875,0.041269998997449875,77538.0,0.0,0.0,,0.11012675192530166,-88.98732480746983
2013-11-22,RTX,57.703865185966215,58.01410492732119,57.435697900700305,57.945743560791016,3920540.0,0.0,0.0,,1.7943641850312788,79.43641850312788
2013-04-02,HII,47.9337729101478,47.95154631439235,46.46750265424013,46.63634490966797,228400.0,0.0,0.0,,1.4064290544372655,40.64290544372656
2016-10-10,GE,25.781674153245945,26.0572710927536,25.612760411984464,25.657211303710938,35341176.0,0.0,0.0,,2.2189156751314183,121.89156751314185
2017-12-04,RTX,70.0546736672563,70.4882495714272,69.38407299820929,69.3956298828125,4380714.0,0.0,0.0,,2.1489245837145883,114.89245837145883
2014-06-17,SPX,0.03539000079035759,0.03610999882221222,0.03539000079035759,0.03610999882221222,278583.0,0.0,0.0,,0.09635757157547845,-90.36424284245216
2018-10-17,BA,355.94075030993497,356.42436545981263,350.81444152824264,353.5226745605469,2238200.0,0.0,0.0,,7.352962953618195,635.2962953618195
2012-01-11,HII,28.736972530187153,30.541322718542755,28.648521841413146,30.028322219848633,406200.0,0.0,0.0,,0.9055749310500569,-9.442506894994304
2016-12-12,LMT,224.1876847007804,225.8972722224759,218.59590460275754,225.37193298339844,7080300.0,0.0,0.0,,4.371381931719017,337.1381931719017
2020-03-06,LMT,359.84245682136566,372.2791784496221,356.33193547394774,369.88079833984375,2161000.0,0.0,0.0,,7.174319434317952,617.4319434317952
2015-04-20,GD,115.7277119196164,117.33151290274594,115.63130814338356,116.80567169189453,776600.0,0.0,0.0,,2.200546271837722,120.0546271837722
2014-12-15,BA,106.17918974898784,107.47362751840222,105.47948896838896,106.77393341064453,6238800.0,0.0,0.0,,2.2208045856082776,122.08045856082774
2018-05-16,LHX,146.6932202079224,147.35527567170382,145.29342930538255,145.3690948486328,616800.0,0.0,0.0,,4.201114340017021,320.11143400170215
2011-08-17,BA,50.768305387282155,51.158580273284244,50.093456032829295,50.556907653808594,6263400.0,0.0,0.0,,1.0515395355900525,5.153953559005256
2010-02-17,GE,11.520254226161041,11.541600934985647,11.42775064501056,11.491790771484375,62976056.0,0.0,0.0,,0.9938459163131714,-0.6154083686828598
2020-03-05,HII,207.71095218244412,210.25384673826167,202.18844068324606,203.5181121826172,378800.0,0.0,0.0,,6.137569027595853,513.7569027595853
2014-07-24,SPX,0.032499998807907104,0.032499998807907104,0.032499998807907104,0.032499998807907104,0.0,0.0,0.0,,0.08672448251118552,-91.32755174888145
2017-06-08,LHX,103.17005000220672,103.95468788089741,102.74971311733796,103.87995910644531,649200.0,0.0,0.0,,3.0020933011716666,200.20933011716667
2012-04-27,SPX,0.09544000029563904,0.11349000036716461,0.09544000029563904,0.11349000036716461,108554.0,0.0,0.0,,0.3028419050169935,-69.71580949830066
2015-02-20,BA,135.34896104749262,139.7755221355238,135.34896104749262,139.31790161132812,9366000.0,0.0,0.0,,2.897690708516277,189.7690708516277
2015-02-17,LHX,68.53617012377921,68.95052675492991,67.90141160168727,68.87118530273438,997100.0,0.0,0.0,,1.9903523819183229,99.03523819183229
2016-07-01,LHX,76.42365847728401,76.80806322727875,75.3162027073491,75.59077453613281,710100.0,0.0,0.0,,2.1845460839348947,118.45460839348947
2020-03-05,BA,275.7900085449219,276.30999755859375,259.6499938964844,260.3699951171875,14669100.0,0.0,0.0,,5.415468557173241,441.54685571732404
2017-02-09,BA,153.98594193537048,154.3786899427508,153.41551915277128,153.62124633789062,3451100.0,0.0,0.0,,3.1951877899071106,219.51877899071107
2021-03-31,GD,180.15234809433056,181.18564406240404,179.48664939928668,180.3907928466797,1052700.0,0.0,0.0,,3.3984504427121736,239.84504427121735
2019-05-06,RTX,82.52470896008214,83.64256120601429,81.99551755115608,83.36309814453125,3776100.0,0.0,0.0,,2.5814451324947734,158.14451324947734
2011-07-27,GE,13.718181484181706,13.747890708122986,13.40623536945147,13.450799942016602,81267992.0,0.0,0.0,,1.1632671408088922,16.326714080889218
2012-03-16,HII,33.23901645351195,33.61049929991463,33.2036361707928,33.38937759399414,292100.0,0.0,0.0,,1.0069354888066062,0.6935488806606309
2011-04-27,GD,57.527339900358925,58.09535630178694,57.00666221165535,57.36956024169922,1669200.0,0.0,0.0,,1.0808068656104588,8.080686561045871
