date,ticker,CashDividendsPaid,CommonStockDividendPaid,RepurchaseOfCapitalStock,AccountsPayable,CostOfRevenue,BasicEPS,FreeCashFlow,TotalRevenue,NetIncome,TotalAssets,StockholdersEquity,ROA,ROE
2021-03-31,GE,-148000000.0,-148000000.0,,16090000000.0,12538000000.0,-0.33,-2315000000.0,17119000000.0,-2802000000.0,245164000000.0,33585000000.0,-0.011429084204858789,-0.08343010272443055
2017-09-30,RTX,-533000000.0,-533000000.0,-60000000.0,8999000000.0,11043000000.0,1.69,-567000000.0,15062000000.0,1330000000.0,96352000000.0,29881000000.0,0.01380355363666556,0.044509889227268166
2019-12-31,RTX,-612000000.0,-612000000.0,-40000000.0,10809000000.0,14734000000.0,1.33,1793000000.0,19551000000.0,1143000000.0,139716000000.0,41774000000.0,0.008180881216181397,0.02736151673289606
2016-09-30,LMT,-484000000.0,-484000000.0,-278000000.0,2840000000.0,10167000000.0,8.02,1079000000.0,11551000000.0,2395000000.0,48739000000.0,2323000000.0,0.049139292968669854,1.0309944037882048
2019-03-31,BA,-1161000000.0,-1161000000.0,-2341000000.0,14693000000.0,18645000000.0,3.79,2287000000.0,22917000000.0,2149000000.0,120209000000.0,125000000.0,0.0178771972148508,17.192
2013-03-31,GD,0.0,0.0,0.0,2503000000.0,6050000000.0,1.62,429000000.0,7404000000.0,571000000.0,34609000000.0,11582000000.0,0.016498598630414054,0.049300638922465896
2012-06-30,HII,0.0,,,314000000.0,1443000000.0,1.01,121000000.0,1721000000.0,50000000.0,5812000000.0,994000000.0,0.008602890571231933,0.05030181086519115
2015-06-30,LMT,-467000000.0,-467000000.0,-937000000.0,2016000000.0,10272000000.0,2.98,1072000000.0,11643000000.0,929000000.0,39848000000.0,2982000000.0,0.0233135916482634,0.3115358819584172
2014-03-31,RTX,-514000000.0,-514000000.0,-335000000.0,6949000000.0,10690000000.0,1.35,860000000.0,14745000000.0,1213000000.0,91229000000.0,32317000000.0,0.013296210634776222,0.03753442460624439
2014-06-30,RTX,-512000000.0,-512000000.0,-335000000.0,7297000000.0,12931000000.0,1.87,1170000000.0,17191000000.0,1680000000.0,92142000000.0,33785000000.0,0.018232727746304616,0.049726209856445165
2011-03-31,LMT,-266000000.0,-266000000.0,-314000000.0,2374000000.0,9831000000.0,1.52,1589000000.0,10633000000.0,530000000.0,36677000000.0,3791000000.0,0.014450473048504513,0.13980480084410446
2018-12-31,GD,-274000000.0,-274000000.0,-1236000000.0,3179000000.0,8595000000.0,3.1,1824000000.0,10378000000.0,909000000.0,45408000000.0,11732000000.0,0.02001849894291755,0.07748039549948858
2013-06-30,LMT,-371000000.0,-371000000.0,-465000000.0,2044000000.0,10184000000.0,2.68,447000000.0,11408000000.0,859000000.0,38947000000.0,694000000.0,0.022055614039592268,1.2377521613832854
2011-06-30,GD,-176000000.0,,-807000000.0,2630000000.0,6425000000.0,1.77,658000000.0,7879000000.0,653000000.0,33361000000.0,13925000000.0,0.019573753784358983,0.04689407540394973
2020-06-30,BA,0.0,0.0,,13700000000.0,12978000000.0,-4.2,-5628000000.0,11807000000.0,-2376000000.0,162872000000.0,-11667000000.0,-0.014588142836092145,0.20365132424787863
2019-03-31,HII,-36000000.0,-36000000.0,-84000000.0,618000000.0,1752000000.0,2.85,-99000000.0,2080000000.0,118000000.0,7000000000.0,1563000000.0,0.01685714285714286,0.07549584133077415
2019-06-30,GD,-295000000.0,-295000000.0,-98000000.0,2860000000.0,7869000000.0,2.8,110000000.0,9555000000.0,806000000.0,48074000000.0,12877000000.0,0.0167658193618172,0.0625922186844762
2019-06-30,RTX,-610000000.0,-610000000.0,-40000000.0,11109000000.0,14413000000.0,2.22,1562000000.0,19634000000.0,1900000000.0,138990000000.0,40754000000.0,0.013670048204906828,0.046621190557982035
2018-12-31,BA,-970000000.0,-970000000.0,-585000000.0,12916000000.0,22090000000.0,6.0,2439000000.0,28341000000.0,3424000000.0,117359000000.0,339000000.0,0.029175436055181112,10.100294985250738
2013-03-31,GE,-1983000000.0,-1983000000.0,,16130000000.0,17316000000.0,0.34,966000000.0,33395000000.0,3527000000.0,670690000000.0,123714000000.0,0.005258763363103669,0.02850930371663676
2018-09-30,LMT,-569000000.0,-569000000.0,-216000000.0,2691000000.0,12397000000.0,5.18,22000000.0,14318000000.0,1473000000.0,45495000000.0,943000000.0,0.03237718430596769,1.56203605514316
2014-09-30,BA,-525000000.0,-525000000.0,-1002000000.0,11136000000.0,20075000000.0,1.88,317000000.0,23784000000.0,1362000000.0,92653000000.0,14511000000.0,0.014700009713662806,0.09385983047343395
2013-06-30,RTX,-465000000.0,-465000000.0,-335000000.0,6645000000.0,11552000000.0,1.73,1448000000.0,16006000000.0,1560000000.0,88744000000.0,26987000000.0,0.0175786532047237,0.05780561010857079
2016-09-30,GD,-231000000.0,-231000000.0,-325000000.0,2276000000.0,6191000000.0,2.25,389000000.0,7731000000.0,683000000.0,32668000000.0,11317000000.0,0.020907309905718135,0.06035168330829725
2011-06-30,BA,-311000000.0,-311000000.0,,8262000000.0,13200000000.0,1.27,1251000000.0,16543000000.0,941000000.0,72119000000.0,4733000000.0,0.013047879199656123,0.1988168180857807
2019-06-30,HII,-36000000.0,-36000000.0,-52000000.0,616000000.0,1834000000.0,3.07,-168000000.0,2188000000.0,128000000.0,7230000000.0,1628000000.0,0.017704011065006915,0.07862407862407862
2012-06-30,BA,-330000000.0,,,9273000000.0,16740000000.0,1.28,546000000.0,20005000000.0,967000000.0,81595000000.0,5804000000.0,0.011851216373552301,0.1666092350103377
2017-09-30,LMT,-522000000.0,-522000000.0,-500000000.0,2848000000.0,10818000000.0,3.27,1532000000.0,12169000000.0,939000000.0,48946000000.0,2098000000.0,0.019184407306010707,0.44756911344137273
2021-03-31,LMT,-739000000.0,-739000000.0,-1000000000.0,1889000000.0,14036000000.0,6.58,1467000000.0,16258000000.0,1837000000.0,51437000000.0,6312000000.0,0.03571359138363435,0.29103295310519645
2013-06-30,GE,-1972000000.0,-1972000000.0,,16237000000.0,18488000000.0,0.3,3747000000.0,35019000000.0,3133000000.0,660541000000.0,122509000000.0,0.004743081807185323,0.025573631325045507
